Type,Name,Stereotype,Notes,CSV_KEY,CSV_PARENT_KEY
Package,SmartCity-Model,,Root package for Smart City Emergency Command System DoDAF Architecture,PKG_ROOT,
Package,AV-1-Overview,,DoDAF AV-1 Overview and Summary Information,PKG_AV1,PKG_ROOT
Package,AV-2-Dictionary,,DoDAF AV-2 Integrated Dictionary,PKG_AV2,PKG_ROOT
Package,OV-1-Concept,,DoDAF OV-1 High-Level Operational Concept Graphic,PKG_OV1,PKG_ROOT
Package,OV-2-Flow,,DoDAF OV-2 Operational Resource Flow Description,PKG_OV2,PKG_ROOT
Package,OV-4-Org,,DoDAF OV-4 Organizational Relationships Chart,PKG_OV4,PKG_ROOT
Package,OV-5-Activity,,DoDAF OV-5 Operational Activity Model,PKG_OV5,PKG_ROOT
Package,SV-1-Interface,,DoDAF SV-1 Systems Interface Description,PKG_SV1,PKG_ROOT
Package,SV-4-Function,,DoDAF SV-4 Systems Functionality Description,PKG_SV4,PKG_ROOT
Package,AV1-SituationAwareness,,Situation Awareness Domain,PKG_AV1_SA,PKG_AV1
Package,AV1-IncidentTriage,,Incident Triage Domain,PKG_AV1_IT,PKG_AV1
Package,AV1-ResourceDispatch,,Resource Dispatch Domain,PKG_AV1_RD,PKG_AV1
Package,AV1-CommandControl,,Command & Control Domain,PKG_AV1_CC,PKG_AV1
Package,AV1-Communication,,Communication Domain,PKG_AV1_COM,PKG_AV1
Package,AV1-PostIncident,,Post-Incident Analysis Domain,PKG_AV1_PI,PKG_AV1
Class,IoT Sensor Network,block,Urban environmental sensors for fire/smoke/flood detection,ELM_AV1_001,PKG_AV1_SA
Class,Surveillance Camera Grid,block,City-wide CCTV network with AI-based anomaly detection,ELM_AV1_002,PKG_AV1_SA
Class,Public Reporting App,block,Mobile application for citizen incident reporting,ELM_AV1_003,PKG_AV1_SA
Class,Incident Classifier,block,AI-driven incident type classification engine,ELM_AV1_004,PKG_AV1_IT
Class,Priority Assessment Module,block,Automated severity and urgency scoring system,ELM_AV1_005,PKG_AV1_IT
Class,Police Dispatch System,block,Police unit allocation and routing platform,ELM_AV1_006,PKG_AV1_RD
Class,Fire Response System,block,Fire station alert and equipment dispatch,ELM_AV1_007,PKG_AV1_RD
Class,EMS Dispatch System,block,Ambulance and medical resource coordination,ELM_AV1_008,PKG_AV1_RD
Class,Municipal Service Dispatch,block,Public works and utility emergency response,ELM_AV1_009,PKG_AV1_RD
Class,Field Command Post,block,Mobile on-scene coordination unit,ELM_AV1_010,PKG_AV1_CC
Class,District Command Center,block,Regional coordination and resource aggregation node,ELM_AV1_011,PKG_AV1_CC
Class,City EOC,block,City Emergency Operations Center for strategic command,ELM_AV1_012,PKG_AV1_CC
Class,TETRA Radio Network,block,Digital trunked radio for first responder voice,ELM_AV1_013,PKG_AV1_COM
Class,LTE Broadband Network,block,4G/5G data network for video and data transmission,ELM_AV1_014,PKG_AV1_COM
Class,Satellite Communication Terminal,block,Backup comms via satellite for disaster scenarios,ELM_AV1_015,PKG_AV1_COM
Class,Data Collection Module,block,Post-incident evidence and log aggregation,ELM_AV1_016,PKG_AV1_PI
Class,Timeline Reconstructor,block,Automatic incident timeline generation engine,ELM_AV1_017,PKG_AV1_PI
Class,After-Action Report Generator,block,Automated incident report and lessons-learned compilation,ELM_AV1_018,PKG_AV1_PI
Package,AV2-SituationAwareness,,Situation Awareness Dictionary,PKG_AV2_SA,PKG_AV2
Package,AV2-IncidentTriage,,Incident Triage Dictionary,PKG_AV2_IT,PKG_AV2
Package,AV2-ResourceDispatch,,Resource Dispatch Dictionary,PKG_AV2_RD,PKG_AV2
Package,AV2-CommandControl,,Command & Control Dictionary,PKG_AV2_CC,PKG_AV2
Package,AV2-Communication,,Communication Dictionary,PKG_AV2_COM,PKG_AV2
